"Exporter","Year","Comtrade Reports","Africa","China","East Asia (excl. China)","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
"China (export)",2013,"Import",34143.12856,66.3938,704615.50748,42.28,128234.5945,1684.7669,124215.69292,1103327.57664,2182.81508,39172.31362
"China (export)",2014,"Import",60409.4407,0,715231.74924,87.44876,486767.94928,194001.0071,199656.28594,1246369.1984,8754.68932,18118.58584
"China (export)",2015,"Import",30352.79988,0,795989.82134,29.084,383548.57736,125406.03932,245808.22276,2194686.99088,7936.18492,10620.19768
"China (export)",2016,"Import",45844.7137,0,702444.50016,177.124,390049.34008,8202.835,307109.671,1622804.04542,7205.36858,27335.0878
"China (export)",2017,"Import",37082.83218,0,827848.47382,535.198,548673.86912,61861.04486,340936.7532,1583779.4308,16914.92462,35315.32056
"PhosAgro/EuroChem",2013,"Import",78126.27958,0,93108.37446,193219.43196,494058.85758,121313.21342,73.20218,51425.88,734918.06172,47349.55524
"PhosAgro/EuroChem",2014,"Import",43619.66124,0,42884.23066,110704.16806,648241.79118,127554.50196,1288.17508,1362.98,522942.92672,54689.40426
"PhosAgro/EuroChem",2015,"Import",90077.9332,0,8723.74174,175532.15386,472963.35906,252336.94642,22985.4014,181371.47296,707672.24408,45452.5014
"PhosAgro/EuroChem",2016,"Import",49636.68162,0,12725.94394,212609.44764,582411.52312,279757.94162,99.84,78576.24,691553.23678,90474.34938
"PhosAgro/EuroChem",2017,"Import",119337.16092,0,24499.03976,255916.76532,632952.11322,260203.09904,35.31,51198.7,673142.05894,45486.94152
"OCP",2013,"Import",73062.059,43165.48,16503.15492,0,764651.04722,247414.64348,4338.8172,42396.82,343192.39224,874
"OCP",2014,"Import",102367.4218,12567.2,18036.15418,0,579818.73022,154467.42848,77037.84514,0,392829.19146,26784.68836
"OCP",2015,"Import",85149.63446,28260.1,3229.75338,0,321649.7479,186705.95124,0,72449.27136,315787.61112,62398.36858
"OCP",2016,"Import",183294.7982,13716.74,5295.24446,0,566572.83688,406844.1958,5995.6,74923.88,369833.39334,76185.96504
"OCP",2017,"Import",136272.10574,0,6001.71154,0,726893.88324,579578.77304,7465.612,24712.12,467088.2682,130864.954
"OCP",2013,"Export",111949.22456,36577.0863,15380.60094,0,864776.27006,168616.55444,4660.1634,9991.27004,319181.5806,194.2176
"OCP",2014,"Export",91661.26148,36178.0731,21405.99132,0,543493.44372,228307.77642,71522.19466,69370.63488,436526.8563,21339.10168
"OCP",2015,"Export",206859.76526,16194.576,3145.342,0,325845.796,248235.518,0,45834.216,356549.71856,66339.7808
"OCP",2016,"Export",251982.97736,0,2759.7194,0,625635.48194,404138.7235,8526.02452,120333.0376,420643.28292,79651.16042
"OCP",2017,"Export",210176.3618,30217.952,5110.9542,0,728003.4374,606731.596,3542.644,59743.788,491820.67504,152412.0418
"Maaden",2013,"Import",101894.598,24909.92,64293.74,0,24964.1264,0,0,478675.27412,0,17484.97
"Maaden",2014,"Import",56662.1648,0,22771.38,0,113636.92,0,45097.5074,678839.94736,0,28477.1234
"Maaden",2015,"Import",63670.93494,0,29196.6646,0,106919.70024,0,31102.29116,900167.09632,0.00104,0
"Maaden",2016,"Import",36401.58204,25.974,13933.4,0,310393.18034,0,47691.1478,623723.66736,0,0
"Maaden",2017,"Import",125700.359,0,27310.00358,0,318093.7726,16352.18,83659.6,685799.28,0,0.0575
"Mosaic",2013,"Import",13791.29252,21117.06786,189574.71676,0.00046,1152004.66646,398569.2448,178717.257,325196.1944,66.88166,56.37996
"Mosaic",2014,"Import",9601.656,80318.85614,123585.6473,0.00046,1172154.34942,451805.04576,185485.44312,281726.17812,76.1344,31.03048
"Mosaic",2015,"Import",6203.6742,0.04938,105512.93824,0.04738,994752.53906,459070.8525,208308.54626,317573.84368,245.8785,0.8918
"Mosaic",2016,"Import",216.90028,10.0182,97345.38378,0.03784,969843.59314,473336.56816,230464.6068,234072.02558,214.4017,2.33812
"Mosaic",2017,"Import",71.89208,0.06486,104345.24892,0.3473,1022547.34846,562596.4852,190742.34332,265377.31156,172.20594,0.01352
"Mosaic",2013,"Export",21939.7,75029.1,199503.46,0,1291692.56,419123.68,134381.02,330011.36,1931.44,226.7
"Mosaic",2014,"Export",4752.07416,16607.35884,94555.61664,0,808351.3832,300709.76778,117824.35622,232581.19616,2219.15194,0
"Mosaic",2015,"Export",8099.38,655.06,105748.4,0,1052738.78752,486648.51584,213879.09584,292785.13472,2173.62,158.6
"Mosaic",2016,"Export",0,260.02,100843.36,0,1079892.04,536663.9,155127.66,253817.42,2785.76,164.32
"Mosaic",2017,"Export",8.86,5690.04,69285.02,0,924365.56,519974.78,163109.26,245514.88,1946.52,319.44
