"Year","Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
2007,466716,7263666,608912,3319500,4158548,718654,4268420,1662068,549676
2008,716982,7836632,690210,2115290,3526158,616940,4636560,932428,228180
2009,725184,9197524,524756,1987612,2671410,532728,5677182,938564,589274
2010,757044,10243324,674574,2796682,3592542,697784,6107358,1197450,540534
2011,847596,11743912,662438,3217912,3885802,705004,5911510,1082340,411344
2012,809896,12643980,747286,3387310,3810076,589912,5257450,1330532,605104
2013,866136,12257566,742974,3653974,3696330,598466,4354266,1555298,543002
2014,885820,11689668,751080,4217462,3771930,905460,4400320,1315090,478506
2015,1012516,12085490,762654,3949288,3796558,916990,6011594,1285418,472702
2016,975802,12634038,838602,4505532,3841886,706488,5677966,1439724,740820
2017,1322450,12451082,998206,4692270,4062222,996462,5806760,1628934,700420
2018,1157846,12056242,889514,4318500,4436392,795894,6085628,1354754,247086
