"Producer","Year","Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
"China (export)",2013,34143.12856,704681.90128,42.28,128234.5945,1684.7669,124215.69292,1103327.57664,2182.81508,39172.31362
"China (export)",2014,60409.4407,715231.74924,87.44876,486767.94928,194001.0071,199656.28594,1246369.1984,8754.68932,18118.58584
"China (export)",2015,30352.79988,795989.82134,29.084,383548.57736,125406.03932,245808.22276,2194686.99088,7936.18492,10620.19768
"China (export)",2016,45844.7137,702444.50016,177.124,390049.34008,8202.835,307109.671,1622804.04542,7205.36858,27335.0878
"China (export)",2017,37082.83218,827848.47382,535.198,548673.86912,61861.04486,340936.7532,1583779.4308,16914.92462,35315.32056
"OCP",2013,73062.059,59668.63492,0,764651.04722,247414.64348,4338.8172,42396.82,343192.39224,874
"OCP",2014,102367.4218,30603.35418,0,579818.73022,154467.42848,77037.84514,0,392829.19146,26784.68836
"OCP",2015,85149.63446,31489.85338,0,321649.7479,186705.95124,0,72449.27136,315787.61112,62398.36858
"OCP",2016,183294.7982,19011.98446,0,566572.83688,406844.1958,5995.6,74923.88,369833.39334,76185.96504
"OCP",2017,136272.10574,6001.71154,0,726893.88324,579578.77304,7465.612,24712.12,467088.2682,130864.954
"Maaden",2013,101894.598,89203.66,0,24964.1264,0,0,478675.27412,0,17484.97
"Maaden",2014,56662.1648,22771.38,0,113636.92,0,45097.5074,678839.94736,0,28477.1234
"Maaden",2015,63670.93494,29196.6646,0,106919.70024,0,31102.29116,900167.09632,0.00104,0
"Maaden",2016,36401.58204,13959.374,0,310393.18034,0,47691.1478,623723.66736,0,0
"Maaden",2017,125700.359,27310.00358,0,318093.7726,16352.18,83659.6,685799.28,0,0.0575
"PhosAgro/EuroChem",2013,78126.27958,93108.37446,247099.34568,494058.85758,121313.21342,73.20218,51425.88,734918.06172,47349.55524
"PhosAgro/EuroChem",2014,43619.66124,42884.23066,514571.12152,648241.79118,127554.50196,1288.17508,1362.98,522942.92672,54689.40426
"PhosAgro/EuroChem",2015,90077.9332,8723.74174,375459.9842,472963.35906,252336.94642,22985.4014,181371.47296,707672.24408,45452.5014
"PhosAgro/EuroChem",2016,49636.68162,12725.94394,609466.67268,582411.52312,279757.94162,99.84,78576.24,691553.23678,90474.34938
"PhosAgro/EuroChem",2017,119337.16092,24499.03976,758436.19724,632952.11322,260203.09904,35.31,51198.7,673142.05894,45486.94152
"Mosaic",2013,13791.29252,210691.78462,0.00046,1152004.66646,1965880,178717.257,325196.1944,66.88166,56.37996
"Mosaic",2014,9601.656,203904.50344,0.00046,1172154.34942,1635130,185485.44312,281726.17812,76.1344,31.03048
"Mosaic",2015,6203.6742,105512.98762,0.04738,994752.53906,1765960,208308.54626,317573.84368,245.8785,0.8918
"Mosaic",2016,216.90028,97355.40198,0.03784,969843.59314,1759100,230464.6068,234072.02558,214.4017,2.33812
"Mosaic",2017,71.89208,104345.31378,0.3473,1022547.34846,1651300,190742.34332,265377.31156,172.20594,0.01352
"Home and Other Imports",2013,565118.64234,11100211.64472,495832.37386,1090060.70784,1360037.3762,291121.0307,2353244.25484,474937.8493,438064.78118
"Home and Other Imports",2014,613159.65546,10674272.78248,236421.42926,1216842.2599,1660777.06246,396894.74332,2192021.69612,390487.0581,350405.16766
"Home and Other Imports",2015,737061.02332,11114576.93132,387164.88442,1669454.07638,1466149.06302,408785.53842,2345345.3248,253776.08034,354230.04054
"Home and Other Imports",2016,660407.32416,11788540.79546,228958.16548,1686261.52644,1387981.02758,115127.1344,3043866.14164,370917.5996,546822.25966
"Home and Other Imports",2017,903985.65008,11461077.45752,239234.25746,1443109.01336,1492926.90306,373622.38148,3195893.15764,471616.5423,488752.7129
