"Region","mean","sd","q05","q10","q25","q50","q75","q90","q95","quartile_dispersion"
"South Asia",0.901019864,0.017479012921908,0.8719717,0.8795639,0.889211,0.901281,0.9135655,0.923226,0.9286527,0.0135094394673993
"North America",0.927288387,0.0118512850777975,0.9083034,0.912618,0.919919,0.9274255,0.93490775,0.9426956,0.9464839,0.0080809434088656
"Oceania",0.982135338,0.0139973404470759,0.9544999,0.9653004,0.97647325,0.9844585,0.9917425,0.9979468,1,0.00775791475096169
"Western Asia",0.99378273,0.00950368195026074,0.97242315,0.9825858,0.99091475,0.998407,1,1,1,0.0045633546087295
"Latin America",0.920686834,0.01201367084865,0.9024715,0.9059497,0.9125375,0.9199745,0.9283225,0.9361692,0.94159325,0.0085747965624762
"Eastern Europe and Central Asia",0.99219847,0.0101719885584055,0.9758225,0.9804437,0.9877215,0.9953505,1,1,1,0.00617717321063342
"Western and Central Europe",0.978263156,0.0111430969679754,0.9593963,0.9633368,0.97163325,0.9788585,0.98618625,0.9920113,0.99645025,0.00743326951233249
"East Asia",0.935311744,0.0292453794501225,0.88355125,0.8974764,0.916056,0.9374225,0.95607,0.9721584,0.9788928,0.0213735613949061
"Africa",0.990544325,0.00937216333131705,0.9718133,0.9772683,0.985223,0.9925395,0.99917925,1,1,0.00703297428734528
