"Producer","Region","Year","Tau_Scaled","Real_Market_Share"
"China (export)","Africa",2014,0.111007587738537,0.0311740111044261
"China (export)","East Asia",2014,0.0618243867543922,0.411385879793925
"China (export)","Latin America",2014,0,0.148422035199584
"China (export)","North America",2014,0.0416054817982797,0.132742755531731
"China (export)","Oceania",2014,0.0978504819313064,0.031865187165128
"China (export)","South Asia",2014,0.00119946380714975,0.154857222170451
"China (export)","Western and Central Europe",2017,0.0803389652205901,0.0515251039445298
"China (export)","Western Asia",2014,0.117584367176936,0.0168397093738395
"Maaden","Africa",2014,0.0980081372523627,0.0311740111044261
"Maaden","East Asia",2014,0.0730623091199767,0.411385879793925
"Maaden","Latin America",2014,0,0.148422035199584
"Maaden","Oceania",2014,0.0901584296275786,0.031865187165128
"Maaden","South Asia",2014,0.00804077730631092,0.154857222170451
"Maaden","Western Asia",2014,0.104088501182601,0.0168397093738395
"Mosaic","Africa",2014,0.136915927687077,0.0311740111044261
"Mosaic","East Asia",2014,0.103939449055257,0.411385879793925
"Mosaic","Latin America",2014,0,0.148422035199584
"Mosaic","North America",2014,0.0150091891216773,0.132742755531731
"Mosaic","Oceania",2014,0.122469484956996,0.031865187165128
"Mosaic","South Asia",2014,0.059267734420596,0.154857222170451
"OCP","Africa",2014,0.112805659027928,0.0311740111044261
"OCP","East Asia",2014,0.0891926774548787,0.411385879793925
"OCP","Latin America",2014,0,0.148422035199584
"OCP","North America",2014,0.0462714255534407,0.132742755531731
"OCP","Oceania",2014,0.105440370072696,0.031865187165128
"OCP","South Asia",2013,0.0445797761731529,0.176867438443829
"OCP","Western and Central Europe",2014,0.079951092631106,0.0462809941786365
"OCP","Western Asia",2014,0.120554055039152,0.0168397093738395
"PhosAgro/EuroChem","Africa",2014,0.117281088124385,0.0311740111044261
"PhosAgro/EuroChem","East Asia",2014,0.0911684480204633,0.411385879793925
"PhosAgro/EuroChem","Eastern Europe and Central Asia",2014,0.092193852229655,0.026432205482279
"PhosAgro/EuroChem","Latin America",2014,0,0.148422035199584
"PhosAgro/EuroChem","North America",2014,0.0496265147728677,0.132742755531731
"PhosAgro/EuroChem","Oceania",2015,0.0733368111104764,0.0344622934710425
"PhosAgro/EuroChem","South Asia",2013,0.0346879857762902,0.176867438443829
"PhosAgro/EuroChem","Western and Central Europe",2014,0.0777800581481775,0.0462809941786365
"PhosAgro/EuroChem","Western Asia",2014,0.121979987326562,0.0168397093738395
